effect_id,study_id,study_design,construct,sub_construct,measure_type,sample_context,name,age,cleft_type,cleft_n,cleft_mean,cleft_sd,compare_n,compare_mean,compare_sd,eff_size,var,test_fam,test_analy,test_statistic,test_alpha,num_var,location,year,pal_repair_age,pal_repair_type
1775,16,2,2,22,1,0,ERRNI - Recall,92.4,5,92,103.28,22.08,77,108.58,17.13,-0.2653,0.0241,,,,,,1,1,,
1855,16,2,2,21,1,1,BPVS-II,92.4,5,92,101.58,11.98,77,107.66,7.86,-0.5896,0.0249,,,,,,1,1,,
399,18,5,1,11,.,2,Canonical Babbling Ratio,16.86,5,14,0.48,0.21,14,0.56,0.19,-0.3995,0.1457,,,,,,0,0,12,0
403,18,5,1,11,.,2,True Canonical Babbling Ratio,16.86,5,14,0.36,0.18,14,0.47,0.17,-0.5758,0.1488,,,,,,0,0,12,0
410,18,5,1,11,.,2,True Consonant Inventory ,16.86,5,14,7.36,4.13,14,10.43,2.9,-0.8603,0.1561,,,,,,0,0,12,0
991,18,5,1,11,.,2,Consonant Inventory,16.86,5,14,11.43,4.13,14,14.29,2.87,-0.8042,0.1544,,,,,,0,0,12,0
1899,18,5,2,21,1,0,PLS-3 AC-SS,16.86,5,14,111.57,9.75,14,115.71,11.51,-0.3881,0.1455,,,,,,0,0,12,0
1939,18,5,2,22,1,0,PLS-3 EC-SS,16.86,5,14,111.36,13.43,14,112,7.01,-0.0597,0.1429,,,,,,0,0,12,0
1747,19,5,2,22,1,0,Bus Story - MLU,60,3,29,6.2,2.3,20,7.3,2.3,-0.4783,0.0868,,,,,,1,1,,
1911,19,5,2,22,1,0,Bus Story - Info,60,3,29,16.4,7.7,20,21.4,8.8,-0.6126,0.0883,,,,,,1,1,,
1982,19,5,2,22,1,0,Bust Story - Num Sub Clauses,60,3,29,1.8,1.8,20,1.9,1.9,-0.0543,0.0845,,,,,,1,1,,
1157,22,2,2,44,1,.,Phoneme isolation,90,5,15,13.6,1.24,15,13.93,0.8,-0.3163,0.135,,,,,,1,1,9,.
1353,22,2,2,44,1,., ,90,5,15,11.47,2.59,15,13.73,1.03,-1.1467,0.1552,,,,,,1,1,9,.
2,23,5,1,12,.,1,Percent Correct Manner,84,3,20,86.17,15.07,7,99.14,1.07,-0.9864,0.2109,,,,,,1,1,.,1
3,23,5,1,12,.,1,Percent Correct Place,84,3,20,99.68,1.43,7,99.71,0.76,-0.0231,0.1929,,,,,,1,1,.,1
2002,23,5,1,12,.,1,Percentage of Consonants Correct,84,3,20,77,23.51,7,98.57,0.98,-1.0521,0.2134,,,,,,1,1,.,1
8,24,2,1,13,.,1,Stopping,57,5,11,3,4.8,22,1,2.3,0.6026,0.1419,,,,,,1,1,3.4,0
83,24,2,1,13,.,1,Coalescence of Sounds,57,5,11,0,0,22,0,0.5,0,0.1364,,,,,,1,1,3.4,0
102,24,2,1,13,.,1,Denasalization,57,5,11,0,0,22,0,0,.,.,,,,,,1,1,3.4,0
122,24,2,1,13,.,1,Initial Consonant Deletion,57,5,11,2,2.8,22,2,2.9,0,0.1364,,,,,,1,1,3.4,0
163,24,2,1,13,.,1,Weak Plosives,57,5,11,6,6.8,22,4,3.5,0.4151,0.139,,,,,,1,1,3.4,0
165,24,2,1,13,.,1,Gliding,57,5,11,31,23.3,22,19,12.5,0.7159,0.1441,,,,,,1,1,3.4,0
199,24,2,1,13,.,1,Reduplication,57,5,11,0,0,22,0,0,.,.,,,,,,1,1,3.4,0
260,24,2,1,13,.,1,Weak Syllable Deletion,57,5,11,1,1.5,22,2,2.6,-0.4342,0.1392,,,,,,1,1,3.4,0
300,24,2,1,13,.,1,Assimilation,57,5,11,3,3.6,22,3,2.6,0,0.1364,,,,,,1,1,3.4,0
402,24,2,1,13,.,1,Final Consonant Deletion,57,5,11,14,11.4,22,5,5.3,1.1528,0.1565,,,,,,1,1,3.4,0
466,24,2,1,13,.,1,Lateral Sigmatism,57,5,11,8,26.3,22,0,0,0.5356,0.1407,,,,,,1,1,3.4,0
523,24,2,1,13,.,1,Backing,57,5,11,17,17.8,22,2,2.9,1.444,0.168,,,,,,1,1,3.4,0
554,24,2,1,13,.,1,Coalescence of Syllables,57,5,11,1,1.4,22,1,1.7,0,0.1364,,,,,,1,1,3.4,0
583,24,2,1,13,.,1,Weak Fricatives,57,5,11,10,8.1,22,8,9.9,0.2137,0.1371,,,,,,1,1,3.4,0
632,24,2,1,13,.,1,Devoicing,57,5,11,1,1.7,22,2,3.2,-0.3565,0.1383,,,,,,1,1,3.4,0
741,24,2,1,13,.,1,Interdental Apicoalveolar,57,5,11,13,14.4,22,8,12.1,0.388,0.1386,,,,,,1,1,3.4,0
749,24,2,1,13,.,1,Metathisis,57,5,11,1,1.1,22,2,1.6,-0.6861,0.1435,,,,,,1,1,3.4,0
824,24,2,1,13,.,1,Compensatory Errors for Fricatives,57,5,11,31,26.3,22,4,9.4,1.605,0.1754,,,,,,1,1,3.4,0
829,24,2,1,13,.,1,N for M Substitution,57,5,11,11,22.7,22,4,5.1,0.5163,0.1404,,,,,,1,1,3.4,0
847,24,2,1,13,.,1,Cluster Simplification,57,5,11,38,17.9,22,16,10.8,1.6291,0.1766,,,,,,1,1,3.4,0
958,24,2,1,13,.,1,"Bilabial Articulation for /f/, /v/",57,5,11,19,27,22,0,0,1.239,0.1596,,,,,,1,1,3.4,0
996,24,2,1,13,.,1,Compensatory Errors for Plosives,57,5,11,12,19.6,22,1,1.1,0.9849,0.1511,,,,,,1,1,3.4,0
2005,24,2,1,13,.,1,Fronting,57,5,11,8,8.1,22,5,4.8,0.4947,0.1401,,,,,,1,1,3.4,0
1337,28,2,2,22,1,0,WPPSI - Info BCLP,54.4,4,28,8.3,3,52,10.3,2.2,-0.7981,0.0589,,,,,,1,0,13.3,.
1448,28,2,2,22,1,0,WPPSI - Similarities UCLP,53.8,3,74,8.7,3.1,52,9.1,2.6,-0.1377,0.0328,,,,,,1,0,13.3,.
1564,28,2,2,22,1,0,WPPSI - Comprehension UCLP,53.8,3,74,9.5,3.7,52,9.8,3.7,-0.0811,0.0328,,,,,,1,0,13.3,.
1657,28,2,2,22,1,1,WPPSI - Vocabulary BCLP,54.4,4,28,7.4,2.7,52,9.6,2.6,-0.8349,0.0593,,,,,,1,0,13.3,.
1673,28,2,2,22,1,0,WPPSI - Info UCLP,53.8,3,74,9.4,2.6,52,10.3,2.2,-0.3683,0.0333,,,,,,1,0,13.3,.
1759,28,2,2,22,1,0,WPPSI - Similarities BCLP,54.4,4,28,7.3,2.5,52,9.1,2.6,-0.7015,0.058,,,,,,1,0,13.3,.
1826,28,2,2,22,1,0,WPPSI - Info CPO,56.4,1,33,9.5,2.7,52,10.3,2.2,-0.3326,0.0502,,,,,,1,0,13.3,.
1848,28,2,2,22,1,0,WPPSI - Comprehension BCLP,54.4,4,28,7.3,2.5,52,9.8,3.7,-0.7499,0.0585,,,,,,1,0,13.3,.
1873,28,2,2,22,1,0,WPPSI - Comprehension CPO,56.4,1,33,8.9,2.5,52,9.8,3.7,-0.2736,0.05,,,,,,1,0,13.3,.
1943,28,2,2,22,1,1,WPPSI - Vocabulary UCLP,53.8,3,74,9.2,3.4,52,9.6,2.6,-0.1292,0.0328,,,,,,1,0,13.3,.
1988,28,2,2,22,1,0,WPPSI - Similarities CPO,56.4,1,33,8.9,3,52,9.1,2.6,-0.0724,0.0496,,,,,,1,0,13.3,.
1995,28,2,2,22,1,1,WPPSI - Vocabulary CPO,56.4,1,33,8.7,3.1,52,9.6,2.6,-0.321,0.0501,,,,,,1,0,13.3,.
6,37,3,1,11,.,2,True Consonant Inventory,27.4,3,10,.,.,10,.,.,-3.4122,0.4911,t,t,-7.63,0.001,,0,1,12,0
7,37,3,1,12,.,2,PCC-R,27.4,3,10,.,.,10,.,.,-1.7531,0.2768,t,t,-3.92,0.001,,0,1,12,0
1120,37,3,2,21,1,0,SICD-R Receptive,27.4,3,10,29.2,6.55,10,26.8,5.67,0.3918,0.2038,,,,,,0,1,12,0
1121,37,3,2,22,1,0,SICD-R Expressive,27.4,3,10,27.9,11.08,10,26.8,7.32,0.1171,0.2003,,,,,,0,1,12,0
1122,37,3,2,22,2,1,TNW,27.4,3,10,162,163.8,10,418,350,-0.9369,0.2219,,,,,,0,1,12,0
1123,37,3,2,22,2,1,NDW,27.4,3,10,56.8,41.1,10,97.4,74.7,-0.6755,0.2114,,,,,,0,1,12,0
1124,37,3,2,22,2,0,MLU,27.4,3,10,1.54,0.79,10,1.65,0.93,-0.1275,0.2004,,,,,,0,1,12,0
93,38,2,1,12,.,1,PCC - Liquids,27.4,5,26,24.1,18.8,42,84.3,16.1,-3.5056,0.1526,,,,,,0,1,12,0
100,38,2,1,12,.,1,PCC- Stops,27.4,5,26,47.3,25.2,42,96,6,-3.0035,0.1286,,,,,,0,1,12,0
