effect_id,study_id,study_design,construct,sub_construct,measure_type,sample_context,name,age,cleft_type,cleft_n,cleft_mean,cleft_sd,compare_n,compare_mean,compare_sd,eff_size,var,test_fam,test_analy,test_statistic,test_alpha,num_var,location,year,pal_repair_age,pal_repair_type
54,84,2,1,13,.,1,Ugandan - liquid gliding,58.8,5,12,34,24,12,19,14,0.7635,0.1788,,,,,,1,1,3.3,0
55,84,2,1,13,.,1,Belgian - delete unstressed,56.4,5,12,3,7,12,0,1,0.6,0.1742,,,,,,1,1,11.1,0
59,84,2,1,13,.,1,Belgian - reduplication,56.4,5,12,2,2,12,1,1,0.6325,0.175,,,,,,1,1,11.1,0
60,84,2,1,13,.,1,Belgian - comp fric,56.4,5,12,25,28,12,2,5,1.1436,0.1939,,,,,,1,1,11.1,0
61,84,2,1,13,.,1,Belgian - fronting,56.4,5,12,8,16,12,4,5,0.3375,0.169,,,,,,1,1,11.1,0
63,84,2,1,13,.,1,Belgian - denasalization,56.4,5,12,0,1,12,0,0,0,0.1667,,,,,,1,1,11.1,0
67,84,2,1,13,.,1,Ugandan - denasalization,58.8,5,12,0,0,12,0,0,0,0,,,,,,1,1,3.3,0
75,84,2,1,13,.,1,Ugandan - delete final,58.8,5,12,13,11,12,4,4,1.0874,0.1913,,,,,,1,1,3.3,0
80,84,2,1,13,.,1,Ugandan - comp plosive,58.8,5,12,11,19,12,0,1,0.8176,0.1806,,,,,,1,1,3.3,0
81,84,2,1,13,.,1,Ugandan - assimilation,58.8,5,12,4,4,12,4,3,0,0.1667,,,,,,1,1,3.3,0
89,84,2,1,13,.,1,Belgian - delete initial,56.4,5,12,3,5,12,0,0,0.8485,0.1817,,,,,,1,1,11.1,0
94,84,2,1,13,.,1,Belgian - delete final,56.4,5,12,10,16,12,5,6,0.4138,0.1702,,,,,,1,1,11.1,0
95,84,2,1,13,.,1,Belgian - cluster simplification,56.4,5,12,39,26,12,17,16,1.0191,0.1883,,,,,,1,1,11.1,0
96,84,2,1,13,.,1,Belgian - comp plosive,56.4,5,12,19,25,12,0,0,1.0748,0.1907,,,,,,1,1,11.1,0
99,84,2,1,13,.,1,Ugandan - devoicing,58.8,5,12,1,3,12,1,2,0,0.1667,,,,,,1,1,3.3,0
2001,84,2,1,13,.,1,Ugandan - coalescence syllables,58.8,5,12,1,1,12,1,2,0,0.1667,,,,,,1,1,3.3,0
2003,84,2,1,13,.,1,Belgian - assimilation,56.4,5,12,3,4,12,2,3,0.2828,0.1683,,,,,,1,1,11.1,0
2004,84,2,1,13,.,1,Belgian - coalescence syllables,56.4,5,12,1,1,12,0,1,1,0.1875,,,,,,1,1,11.1,0
2006,84,2,1,13,.,1,Belgian - devoicing,56.4,5,12,11,11,12,14,18,-0.2011,0.1675,,,,,,1,1,11.1,0
2009,84,2,1,13,.,1,Belgian - stopping,56.4,5,12,6,9,12,0,0,0.9428,0.1852,,,,,,1,1,11.1,0
2010,84,2,1,13,.,1,Ugandan - delete unstressed,58.8,5,12,1,2,12,2,2,-0.5,0.1719,,,,,,1,1,3.3,0
2011,84,2,1,13,.,1,Belgian - coalescence sounds,56.4,5,12,0,0,12,0,1,0,0.1667,,,,,,1,1,11.1,0
77,90,2,1,13,.,1,Nasalization,54,5,20,0.9,2.4,20,0,0,0.5303,0.1053,,,,,,1,1,12,.
110,90,2,1,13,.,1,Diph-reduction,54,5,20,0.2,0.4,20,0.2,0.4,0,0.1,,,,,,1,1,12,.
242,90,2,1,13,.,1,Fronting,54,5,20,0.8,1.5,20,0.1,1.6,0.4514,0.1025,,,,,,1,1,12,.
334,90,2,1,13,.,1,Affrication,54,5,20,1,2,20,1.5,2.3,-0.232,0.1007,,,,,,1,1,12,.
359,90,2,1,13,.,1,Backing,54,5,20,1.8,3.5,20,4.5,6.9,-0.4935,0.103,,,,,,1,1,12,.
383,90,2,1,13,.,1,Syllable-final consonant deletion,54,5,20,0.4,1.1,20,2.2,3.7,-0.6595,0.1054,,,,,,1,1,12,.
407,90,2,1,13,.,1,Friction,54,5,20,1.3,2.6,20,0.4,0.9,0.4626,0.1027,,,,,,1,1,12,.
411,90,2,1,13,.,1,Syllable-initial consonant deletion,54,5,20,10.4,16.2,20,0.3,0.6,0.8811,0.1097,,,,,,1,1,12,.
550,90,2,1,13,.,1,Aspiration,54,5,20,0.1,0.3,20,0.1,0.3,0,0.1,,,,,,1,1,12,.
585,90,2,1,13,.,1,Stopping,54,5,20,7,9.6,20,3.8,6.9,0.3828,0.1018,,,,,,1,1,12,.
669,90,2,1,13,.,1,Liquid placement substitution,54,5,20,1.05,1.1,20,2,1.3,-0.7889,0.1078,,,,,,1,1,12,.
717,90,2,1,13,.,1,Assimilation,54,5,20,0.3,0.5,20,0.9,0.9,-0.8242,0.2085,,,,,,1,1,12,.
493,91,2,2,22,2,.,Groningen Diagnositic Speech Norms,29,5,43,.,.,23,.,.,-0.4525,0.0637,c,chi-sq,.,0.073,,1,1,10,1
721,91,2,2,21,1,0,Reynell Developmental Language Scales,29,5,33,.,.,26,.,.,-0.4193,0.0708,c,chi-sq,.,0.115,,1,1,10,1
2013,91,2,1,12,.,1,Articulation,29,5,41,.,.,23,.,.,-0.3929,0.0649,c,chi-sq,.,0.123,.,1,1,10,1
220,93,2,1,12,.,1,Single word imitation,64,1,10,55.4,31.17,47,84.3,14.92,-1.5556,0.1425,,,,,,0,1,.,.
326,93,2,1,12,.,1,Single word imitation,64,3,10,66.2,5.5,47,84.3,14.92,-1.3092,0.1363,,,,,,0,1,.,.
453,93,2,2,22,2,.,MLU,64,1,10,4.9,1.63,47,5.6,1.22,-0.5401,0.1238,,,,,,0,1,.,.
2007,93,2,2,22,2,.,MLU,64,3,10,4.3,1.12,47,5.6,1.22,-1.0796,0.1315,,,,,,0,1,.,.
166,98,5,2,21,1,0,SICD-R Receptive,24,5,26,21,6,16,22,5,-0.1771,0.1013,,,,,,1,0,.,.
326,98,5,2,22,1,0,REEL - Expressive,24,5,26,19,6,16,22,5,-0.5314,0.1043,,,,,,1,0,.,.
493,98,5,2,22,1,0,SICD-R Expressive,24,5,26,15,6,16,21,5,-1.0627,0.1144,,,,,,1,0,.,.
543,98,5,2,21,1,0,PLS - R Receptive,24,5,26,22,5,16,25,4,-0.6451,0.1059,,,,,,1,0,.,.
622,98,5,2,21,1,0,REEL - Receptive,24,5,26,21,6,16,23,4,-0.3746,0.1026,,,,,,1,0,.,.
698,98,5,2,22,2,.,MLU,24,5,26,1.1,0.9,16,1.4,0.5,-0.3873,0.1027,,,,,,1,0,.,.
887,98,5,2,22,1,0,PLS-R Expressive,24,5,26,18,4,16,22,4,-1,0.1129,,,,,,1,0,.,.
